
--------------------------------------------------
[FAIL] | Canada Post | #4016010215195889 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215195889
[FAIL] | Canada Post | #4016010214474886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010214474886
[FAIL] | Canada Post | #4016010213542883 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010213542883
[FAIL] | Canada Post | #4016010213118880 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010213118880
[FAIL] | Canada Post | #4016010213068888 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010213068888
[FAIL] | Canada Post | #4016010213424882 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010213424882
[FAIL] | Canada Post | #4016010212965881 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010212965881
[FAIL] | Canada Post | #4016010211697882 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010211697882
[FAIL] | Canada Post | #4016010209523889 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010209523889
[FAIL] | Canada Post | #4016010206376884 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010206376884
[FAIL] | Canada Post | #4016010205947887 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010205947887
[FAIL] | Canada Post | #4016010205902886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010205902886
[FAIL] | Canada Post | #4016010206246880 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010206246880
[FAIL] | Canada Post | #4016010205849884 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010205849884
[FAIL] | Canada Post | #4016010205756885 | reason: Notification button not found (likely already delivered) | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010205756885
[FAIL] | Canada Post | #4016010205306882 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010205306882
[FAIL] | Canada Post | #4016010205283886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010205283886
[FAIL] | Canada Post | #4016010204293886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010204293886
[FAIL] | Canada Post | #4016010203360886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010203360886
[FAIL] | Canada Post | #4016010202434885 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010202434885
